user_id,name,email,signup_date,country,plan_at_signup,sessions_30d,avg_session_min,feature_A_usage,feature_B_usage,emails_opened_30d,last_active_days_ago,lifetime_days,converted_to_paid,churned,mrr,churned_recently
user_00001,Denise Walker,jpeterson@gmail.com,2025-08-02,US,free,2,12.3,1.91,1.0,1,23,83,0,0,0.0,0
user_00002,James Howard,elizabethmiles@hotmail.com,2022-08-17,IN,pro,6,8.3,2.59,2.6,4,23,1164,1,0,108.73,0
user_00003,Carolyn Daniel,robinbradley@hotmail.com,2022-02-21,FR,starter,7,1.0,0.32,2.0,2,81,1341,1,0,20.0,0
user_00004,Jennifer Rocha,cruzcaitlin@yahoo.com,2023-07-18,US,free,0,6.5,2.56,2.0,2,44,829,0,0,0.0,0
user_00005,Dr. Adam Le,georgetracy@gmail.com,2023-05-17,FR,free,0,1.5,2.49,3.0,0,40,891,0,1,0.0,1
user_00006,David Bradley,clam@gmail.com,2023-04-03,US,free,1,9.7,3.37,1.0,2,58,935,0,0,0.0,0
user_00007,Alisha Spencer,davisryan@yahoo.com,2022-10-13,DE,free,1,1.3,0.5,3.0,2,2,1107,0,0,0.0,0
user_00008,Anthony Valdez,pearsonamber@gmail.com,2022-07-29,FR,pro,3,6.0,3.58,2.6,1,38,1183,1,0,85.56,0
user_00009,Karla Lewis,brianromero@gmail.com,2025-01-21,US,starter,1,6.6,1.21,0.0,0,7,276,1,0,20.0,0
user_00010,Cynthia Wilson,williamanderson@yahoo.com,2022-06-28,IN,starter,5,14.2,2.35,2.0,3,9,1214,0,0,0.0,0
user_00011,Brooke Bass,dking@gmail.com,2025-04-24,US,free,0,3.7,1.83,2.0,1,0,183,0,0,0.0,0
user_00012,Andrew Cook,jason31@yahoo.com,2024-05-14,CA,pro,9,10.0,1.27,1.3,2,67,528,0,0,0.0,0
user_00013,Dr. Timothy Young,andrewlee@yahoo.com,2022-03-07,IN,starter,3,10.3,0.7,4.0,2,40,1327,0,0,0.0,0
user_00014,Mrs. Margaret Ross,michaeljones@hotmail.com,2022-03-03,GB,free,4,13.9,2.32,1.0,0,4,1331,1,0,0.0,0
user_00015,Caleb Mccullough,steven73@hotmail.com,2022-07-11,US,free,0,11.1,0.64,3.0,0,11,1201,0,1,0.0,0
user_00016,Diane Beck,dianasmith@gmail.com,2023-03-24,US,free,7,12.4,0.76,4.0,4,19,945,0,0,0.0,0
user_00017,Robert Dominguez,jrivas@yahoo.com,2023-04-22,US,free,4,11.5,2.39,4.0,1,20,916,1,0,0.0,0
user_00018,Paul Larsen,amy60@gmail.com,2024-10-31,US,free,0,3.2,1.71,0.0,1,27,358,0,0,0.0,0
user_00019,Randy Shah,dramsey@gmail.com,2025-05-17,GB,free,2,9.4,1.06,1.0,0,19,160,0,0,0.0,0
user_00020,Leslie Alvarado,currybrett@yahoo.com,2022-02-24,FR,free,8,11.4,1.82,3.0,0,31,1338,0,0,0.0,0
user_00021,Marissa Webster,barbara66@hotmail.com,2025-02-23,CA,starter,3,4.2,4.24,1.0,2,64,243,1,0,20.0,0
